Title 	 Authors 	 Date of Publication 	 Digital Object Identifier
Molecular analysis of multidrug resistance in clinical isolates of Shigella spp. from 2001-2010 in Kolkata, India: role of integrons, plasmids, and topoisomerase mutations.	Rajpara N Nair M Chowdhury G Mukhopadhyay AK Ramamurthy T Niyogi SK Bhardwaj AK	2018	10.2147/IDR.S148726 [doi] idr-11-087 [pii]
Analysis of bacterial genomes from an evolution experiment with horizontal gene transfer shows that recombination can sometimes overwhelm selection.	Maddamsetti R Lenski RE	2018 Jan	10.1371/journal.pgen.1007199 [doi] PGENETICS-D-17-02122 [pii]
Bioengineered polyester beads co-displaying protein and carbohydrate-based antigens induce protective immunity against bacterial infection.	Gonzalez-Miro M Rodriguez-Noda LM Farinas-Medina M Cedre-Marrero B Madariaga-Zarza S Zayas-Vignier C Hernandez-Cedeno M Kleffmann T Garcia-Rivera D Verez-Bencomo V Rehm BHA	2018 Jan 30	10.1038/s41598-018-20205-7 [doi] 10.1038/s41598-018-20205-7 [pii]
Synthesis of 4-(dimethylamino)pyridine propylthioacetate coated gold nanoparticles and their antibacterial and photophysical activity.	Anwar A Khalid S Perveen S Ahmed S Siddiqui R Khan NA Shah MR	2018 Jan 29	10.1186/s12951-017-0332-z [doi] 10.1186/s12951-017-0332-z [pii]
Recombination of plasmids in a carbapenem-resistant NDM-5-producing clinical Escherichia coli isolate.	Xie M Li R Liu Z Chan EWC Chen S	2018 May 1	4823432 [pii] 10.1093/jac/dkx540 [doi]
Gene cloning system for sulfonamide-mineralizing Microbacterium sp. strain BR1.	Ostash I Kolvenbach B Corvini PF Fedorenko V Ostash B Cichocka D	2018 Feb	10.1007/s13353-017-0427-0 [doi] 10.1007/s13353-017-0427-0 [pii]
Selective Discrimination of Key Enzymes of Pathogenic and Nonpathogenic Bacteria on Autonomously Reporting Shape-Encoded Hydrogel Patterns.	Jia Z Sukker I Muller M Schonherr H	2018 Feb 14	10.1021/acsami.7b15147 [doi]
Silent transmission of an IS1294b-deactivated mcr-1 gene with inducible colistin resistance.	Zhou K Luo Q Wang Q Huang C Lu H Rossen JWA Xiao Y Li L	2018 Jun	S0924-8579(18)30007-4 [pii] 10.1016/j.ijantimicag.2018.01.004 [doi]
Nanobiostructure of fibrous-like alumina functionalized with an analog of the BP100 peptide: Synthesis, characterization and biological applications.	Torres LMFC Braga NA Gomes IP Almeida MT Santos TL de Mesquita JP da Silva LM Martins HR Kato KC Dos Santos WTP Resende JM Pereira MC Bemquerer MP Rodrigues MA Verly RM	2018 Mar 1	S0927-7765(18)30001-8 [pii] 10.1016/j.colsurfb.2018.01.001 [doi]
Isolation of an IncP-1 plasmid harbouring mcr-1 from a chicken isolate of Citrobacter braakii in China.	Liu J Yang Y Li Y Liu D Tuo H Wang H Call DR Davis M Zhang A	2018 Jun	S0924-8579(17)30473-9 [pii] 10.1016/j.ijantimicag.2017.12.030 [doi]
An Expanded Plasmid-Based Genetic Toolbox Enables Cas9 Genome Editing and Stable Maintenance of Synthetic Pathways in Phaeodactylum tricornutum.	Slattery SS Diamond A Wang H Therrien JA Lant JT Jazey T Lee K Klassen Z Desgagne-Penix I Karas BJ Edgell DR	2018 Feb 16	10.1021/acssynbio.7b00191 [doi]
The Locational Impact of Site-Specific PEGylation: Streamlined Screening with Cell-Free Protein Expression and Coarse-Grain Simulation.	Wilding KM Smith AK Wilkerson JW Bush DB Knotts TA 4th Bundy BC	2018 Feb 16	10.1021/acssynbio.7b00316 [doi]
Evaluation of the Genetics and Functionality of Plasmids in Incompatibility Group I1-Positive Salmonella enterica.	Kaldhone PR Han J Deck J Khajanchi B Nayak R Foley SL Ricke SC	2018 Mar	10.1089/fpd.2017.2332 [doi]
Study of mcr-1 Gene-Mediated Colistin Resistance in Enterobacteriaceae Isolated from Humans and Animals in Different Countries.	Hadjadj L Riziki T Zhu Y Li J Diene SM Rolain JM	2017 Dec 19	genes8120394 [pii] 10.3390/genes8120394 [doi]
A Molecular Rotor-Based Halo-Tag Ligand Enables a Fluorogenic Proteome Stress Sensor to Detect Protein Misfolding in Mildly Stressed Proteome.	Fares M Li Y Liu Y Miao K Gao Z Zhai Y Zhang X	2018 Jan 17	10.1021/acs.bioconjchem.7b00763 [doi]
Arabidopsis TCP Transcription Factors Interact with the SUMO Conjugating Machinery in Nuclear Foci.	Mazur MJ Spears BJ Djajasaputra A van der Gragt M Vlachakis G Beerens B Gassmann W van den Burg HA	2017	10.3389/fpls.2017.02043 [doi]
Characterization of multiple antibiotic resistance of culturable microorganisms and metagenomic analysis of total microbial diversity of marine fish sold in retail shops in Mumbai, India.	Naik OA Shashidhar R Rath D Bandekar JR Rath A	2018 Mar	10.1007/s11356-017-0945-7 [doi] 10.1007/s11356-017-0945-7 [pii]
Treatment with Cefotaxime Affects Expression of Conjugation Associated Proteins and Conjugation Transfer Frequency of an IncI1 Plasmid in Escherichia coli.	Moller TSB Liu G Boysen A Thomsen LE Luthje FL Mortensen S Moller-Jensen J Olsen JE	2017	10.3389/fmicb.2017.02365 [doi]
Sexual recombination and increased mutation rate expedite evolution of Escherichia coli in varied fitness landscapes.	Peabody V GL Li H Kao KC	2017 Dec 13	10.1038/s41467-017-02323-4 [doi] 10.1038/s41467-017-02323-4 [pii]
Synthesis, characterisation and biomedical applications of curcumin conjugated chitosan microspheres.	Saranya TS Rajan VK Biswas R Jayakumar R Sathianarayanan S	2018 Apr 15	S0141-8130(17)33743-1 [pii] 10.1016/j.ijbiomac.2017.12.044 [doi]
Diversity of CTX-M Extended-Spectrum beta-Lactamases in Escherichia coli Isolates from Retail Raw Ground Beef: First Report of CTX-M-24 and CTX-M-32 in Algeria.	Rebbah N Messai Y Chatre P Haenni M Madec JY Bakour R	2018 Sep	10.1089/mdr.2017.0171 [doi]
First Report of the Plasmid-Mediated Colistin Resistance Gene mcr-1 in Escherichia coli ST405 Isolated from Wildlife in Bejaia, Algeria.	Bachiri T Lalaoui R Bakour S Allouache M Belkebla N Rolain JM Touati A	2018 Sep	10.1089/mdr.2017.0026 [doi]
Self-Conjugation of the Enteropathogenic Escherichia coli Adherence Factor Plasmid of Four Typical EPEC Isolates.	Silva C Zavala-Alvarado C Puente JL	2017	10.1155/2017/6325736 [doi]
Role of antigen-43 on biofilm formation and horizontal antibiotic resistance gene transfer in non-O157 Shiga toxin producing Escherichia coli strains.	Taghadosi R Shakibaie MR Ghanbarpour R Hosseini-Nave H	2017 Apr	?
Characterization of Colistin-Resistant Escherichia coli Isolated from Diseased Pigs in France.	Delannoy S Le Devendec L Jouy E Fach P Drider D Kempf I	2017	10.3389/fmicb.2017.02278 [doi]
Mobile genetic elements and antibiotic resistance in mine soil amended with organic wastes.	Garbisu C Garaiyurrebaso O Lanzen A Alvarez-Rodriguez I Arana L Blanco F Smalla K Grohmann E Alkorta I	2018 Apr 15	S0048-9697(17)33279-5 [pii] 10.1016/j.scitotenv.2017.11.221 [doi]
Biocatalytically Active Thin Films via Self-Assembly of 2-Deoxy-d-ribose-5-phosphate Aldolase-Poly(N-isopropylacrylamide) Conjugates.	Zhang S Bisterfeld C Bramski J Vanparijs N De Geest BG Pietruszka J Boker A Reinicke S	2018 Jan 17	10.1021/acs.bioconjchem.7b00645 [doi]
Biosynthesis of 2-aminooctanoic acid and its use to terminally modify a lactoferricin B peptide derivative for improved antimicrobial activity.	Almahboub SA Narancic T Devocelle M Kenny ST Palmer-Brown W Murphy C Nikodinovic-Runic J O'Connor KE	2018 Jan	10.1007/s00253-017-8655-0 [doi] 10.1007/s00253-017-8655-0 [pii]
Characterisation of blaOXA-538, a new variant of blaOXA-48, in Shewanella xiamenensis isolated from river water in Algeria.	Tafoukt R Leangapichart T Hadjadj L Bakour S Diene SM Rolain JM Touati A	2018 Jun	S2213-7165(17)30219-9 [pii] 10.1016/j.jgar.2017.11.008 [doi]
Sub-inhibitory concentrations of fluoroquinolones increase conjugation frequency.	Shun-Mei E Zeng JM Yuan H Lu Y Cai RX Chen C	2018 Jan	S0882-4010(17)30720-9 [pii] 10.1016/j.micpath.2017.11.036 [doi]
Characteristics and genetic diversity of multi-drug resistant extended-spectrum beta-lactamase (ESBL)-producing Escherichia coli isolated from bovine mastitis.	Ali T Rahman SU Zhang L Shahid M Han D Gao J Zhang S Ruegg PL Saddique U Han B	2017 Oct 27	10.18632/oncotarget.21496 [doi] 21496 [pii]
Persistence and reversal of plasmid-mediated antibiotic resistance.	Lopatkin AJ Meredith HR Srimani JK Pfeiffer C Durrett R You L	2017 Nov 22	10.1038/s41467-017-01532-1 [doi] 10.1038/s41467-017-01532-1 [pii]
High Rate of MCR-1-Producing Escherichia coli and Klebsiella pneumoniae among Pigs, Portugal.	Kieffer N Aires-de-Sousa M Nordmann P Poirel L	2017 Dec	10.3201/eid2312.170883 [doi]
Development of an efficient conjugal DNA transfer system between Escherichia coli and a non-sporulating Streptomyces strain.	Rocha D Ruiz-Villafan B Manzo M Rodriguez-Sanoja R Sanchez S	2018 Jan	S0167-7012(17)30299-3 [pii] 10.1016/j.mimet.2017.11.006 [doi]
Remarkable Diversity of Escherichia coli Carrying mcr-1 from Hospital Sewage with the Identification of Two New mcr-1 Variants.	Zhao F Feng Y Lu X McNally A Zong Z	2017	10.3389/fmicb.2017.02094 [doi]
MCR-1 Inhibition with Peptide-Conjugated Phosphorodiamidate Morpholino Oligomers Restores Sensitivity to Polymyxin in Escherichia coli.	Daly SM Sturge CR Felder-Scott CF Geller BL Greenberg DE	2017 Nov 7	mBio.01315-17 [pii] 10.1128/mBio.01315-17 [doi]
Antibiotics and common antibacterial biocides stimulate horizontal transfer of resistance at low concentrations.	Jutkina J Marathe NP Flach CF Larsson DGJ	2018 Mar	S0048-9697(17)33030-9 [pii] 10.1016/j.scitotenv.2017.10.312 [doi]
Emergence and mechanism of carbapenem-resistant Escherichia coli in Henan, China, 2014.	Liang WJ Liu HY Duan GC Zhao YX Chen SY Yang HY Xi YL	2018 May - Jun	S1876-0341(17)30254-X [pii] 10.1016/j.jiph.2017.09.020 [doi]
Characterisation of the site-specific monoPEGylated rhG-CSF analogue pegteograstim.	Hong J Lee B Kang K Lee SH Ryu J Jung G Oh J Jo EC Kim CW	2018 Jan	S1045-1056(17)30128-8 [pii] 10.1016/j.biologicals.2017.10.002 [doi]
Complete genetic analysis of a Salmonella enterica serovar Indiana isolate accompanying four plasmids carrying mcr-1, ESBL and other resistance genes in China.	Wang J Li X Li J Hurley D Bai X Yu Z Cao Y Wall E Fanning S Bai L	2017 Oct	S0378-1135(17)30845-3 [pii] 10.1016/j.vetmic.2017.08.024 [doi]
Doxorubicin-conjugated Escherichia coli Nissle 1917 swimmers to achieve tumor targeting and responsive drug release.	Xie S Zhao L Song X Tang M Mo C Li X	2017 Dec 28	S0168-3659(17)30942-2 [pii] 10.1016/j.jconrel.2017.10.041 [doi]
Complete genome sequence of Enterobacter cloacae R11 reveals multiple genes potentially associated with high-level polymyxin E resistance.	Zhong C Zhang C Fu J Chen W Jiang T Cao G	2018 Jan	10.1139/cjm-2017-0475 [doi]
Characterization of Four Multidrug Resistance Plasmids Captured from the Sediments of an Urban Coastal Wetland.	Botts RT Apffel BA Walters CJ Davidson KE Echols RS Geiger MR Guzman VL Haase VS Montana MA La Chat CA Mielke JA Mullen KL Virtue CC Brown CJ Top EM Cummings DE	2017	10.3389/fmicb.2017.01922 [doi]
Fabrication of Nontoxic Reduced Graphene Oxide Protein Nanoframework as Sustained Antimicrobial Coating for Biomedical Application.	Choudhary P Parandhaman T Ramalingam B Duraipandy N Kiran MS Das SK	2017 Nov 8	10.1021/acsami.7b11203 [doi]
Emergence of mcr-1 and carbapenemase genes in hospital sewage water in Beijing, China.	Jin L Wang R Wang X Wang Q Zhang Y Yin Y Wang H	2018 Jan 1	4430310 [pii] 10.1093/jac/dkx355 [doi]
Distinct mechanisms of acquisition of mcr-1 -bearing plasmid by Salmonella strains recovered from animals and food samples.	Cui M Zhang J Zhang C Li R Wai-Chi Chan E Wu C Wu C Chen S	2017 Oct 16	10.1038/s41598-017-01810-4 [doi] 10.1038/s41598-017-01810-4 [pii]
Plasmids can transfer to Clostridium difficile CD37 and 630Deltaerm both by a DNase resistant conjugation-like mechanism and a DNase sensitive mechanism.	Khodadoost L Hussain H Mullany P	2017 Nov 15	4329271 [pii] 10.1093/femsle/fnx208 [doi]
Characterization of the Actinobacillus pleuropneumoniae SXT-related integrative and conjugative element ICEApl2 and analysis of the encoded FloR protein: hydrophobic residues in transmembrane domains contribute dynamically to florfenicol and chloramphenicol efflux.	Li Y Li Y Fernandez Crespo R Leanse LG Langford PR Bosse JT	2018 Jan 1	4364863 [pii] 10.1093/jac/dkx342 [doi]
Creation of a Dense Transposon Insertion Library Using Bacterial Conjugation in Enterobacterial Strains Such As Escherichia Coli or Shigella flexneri.	Freed NE	2017 Sep 23	10.3791/56216 [doi]
Antibiotics Promote Escherichia coli-Pseudomonas aeruginosa Conjugation through Inhibiting Quorum Sensing.	Lu Y Zeng J Wang L Lan K E S Wang L Xiao Q Luo Q Huang X Huang B Chen C	2017 Dec	AAC.01284-17 [pii] 10.1128/AAC.01284-17 [doi]
Emergence of carbapenem resistant Escherichia coli isolates producing blaNDM and blaOXA-48-like carried on IncA/C and IncL/M plasmids at two Iranian university hospitals.	Solgi H Giske CG Badmasti F Aghamohammad S Havaei SA Sabeti S Mostafavizadeh K Shahcheraghi F	2017 Nov	S1567-1348(17)30341-6 [pii] 10.1016/j.meegid.2017.10.003 [doi]
AGT Activity Towards Intrastrand Crosslinked DNA is Modulated by the Alkylene Linker.	O'Flaherty DK Wilds CJ	2017 Dec 5	10.1002/cbic.201700450 [doi]
[Discovery and analysis of Staphylococcus aureus biofilm inhibitors using functional metagenomics approach].	Zhu Y Chai S Cao M Wang S Feng Z	2017 Sep 25	10.13345/j.cjb.170058 [doi]
Effect of guar gum conjugation on functional, antioxidant and antimicrobial activity of egg white lysozyme.	Hamdani AM Wani IA Bhat NA Siddiqi RA	2018 Feb 1	S0308-8146(17)31396-1 [pii] 10.1016/j.foodchem.2017.08.060 [doi]
Streamlined purification of fluorescently labeled Escherichia coli phosphate-binding protein (PhoS) suitable for rapid-kinetics applications.	Smith DD Girodat D Wieden HJ Selinger LB	2017 Nov 15	S0003-2697(17)30378-0 [pii] 10.1016/j.ab.2017.09.012 [doi]
Th2-biased immune response and agglutinating antibodies generation by a chimeric protein comprising OmpC epitope (323-336) of Aeromonas hydrophila and LTB.	Sharma M Dash P Sahoo PK Dixit A	2018 Feb	10.1007/s12026-017-8953-8 [doi] 10.1007/s12026-017-8953-8 [pii]
Glycoengineered Outer Membrane Vesicles as a Platform for Vaccine Development.	Valguarnera E Feldman MF	2017	S0076-6879(17)30189-1 [pii] 10.1016/bs.mie.2017.06.032 [doi]
Staphylococci on ICE: Overlooked agents of horizontal gene transfer.	Sansevere EA Robinson DA	2017	10.1080/2159256X.2017.1368433 [doi] 1368433 [pii]
A rapid seamless method for gene knockout in Pseudomonas aeruginosa.	Huang W Wilks A	2017 Sep 19	10.1186/s12866-017-1112-5 [doi] 10.1186/s12866-017-1112-5 [pii]
Genome content, metabolic pathways and biotechnological potential of the psychrophilic Arctic bacterium Psychrobacter sp. DAB_AL43B, a source and a host of novel Psychrobacter-specific vectors.	Lasek R Dziewit L Ciok A Decewicz P Romaniuk K Jedrys Z Wibberg D Schluter A Puhler A Bartosik D	2017 Dec 10	S0168-1656(17)31651-6 [pii] 10.1016/j.jbiotec.2017.09.011 [doi]
Fusion of gelonin and anti-insulin-like growth factor-1 receptor (IGF-1R) affibody for enhanced brain cancer therapy.	Ham S Min KA Yang JW Shin MC	2017 Sep	10.1007/s12272-017-0953-7 [doi] 10.1007/s12272-017-0953-7 [pii]
Genomic and Molecular Characterization of Clinical Isolates of Enterobacteriaceae Harboring mcr-1 in Colombia, 2002 to 2016.	Saavedra SY Diaz L Wiesner M Correa A Arevalo SA Reyes J Hidalgo AM de la Cadena E Perenguez M Montano LA Ardila J Rios R Ovalle MV Diaz P Porras P Villegas MV Arias CA Beltran M Duarte C	2017 Dec	AAC.00841-17 [pii] 10.1128/AAC.00841-17 [doi]
Dissemination and loss of a biofilm-related genomic island in marine Pseudoalteromonas mediated by integrative and conjugative elements.	Wang P Zeng Z Wang W Wen Z Li J Wang X	2017 Nov	10.1111/1462-2920.13925 [doi]
Genome-wide sequence transposon insertion sites and analyze the essential genes of Brucella melitensis.	De Y Dong C Cao Y Wang X Yang X Wang N Zhang C Wang Z Lyu Y Wu Q	2017 Nov	S0882-4010(17)30866-5 [pii] 10.1016/j.micpath.2017.09.005 [doi]
Triazine-based covalent organic frameworks for photodynamic inactivation of bacteria as type-II photosensitizers.	Liu T Hu X Wang Y Meng L Zhou Y Zhang J Chen M Zhang X	2017 Oct	S1011-1344(17)30556-0 [pii] 10.1016/j.jphotobiol.2017.07.013 [doi]
Prevalence of fosfomycin resistance and plasmid-mediated fosfomycin-modifying enzymes among carbapenem-resistant Enterobacteriaceae in Zhejiang, China.	Huang L Hu YY Zhang R	2017 Sep	10.1099/jmm.0.000578 [doi]
Molecular cloning, biochemical characterization, and expression analysis of two glutathione S-transferase paralogs from the big-belly seahorse (Hippocampus abdominalis).	Tharuka MDN Bathige SDNK Lee J	2017 Dec	S1096-4959(17)30127-6 [pii] 10.1016/j.cbpb.2017.08.005 [doi]
Preparation of biogenic gas vesicle nanostructures for use as contrast agents for ultrasound and MRI.	Lakshmanan A Lu GJ Farhadi A Nety SP Kunth M Lee-Gosselin A Maresca D Bourdeau RW Yin M Yan J Witte C Malounda D Foster FS Schroder L Shapiro MG	2017 Oct	nprot.2017.081 [pii] 10.1038/nprot.2017.081 [doi]
Structure and Dynamics of FosA-Mediated Fosfomycin Resistance in Klebsiella pneumoniae and Escherichia coli.	Klontz EH Tomich AD Gunther S Lemkul JA Deredge D Silverstein Z Shaw JF McElheny C Doi Y Wintrode PL MacKerell AD Jr Sluis-Cremer N Sundberg EJ	2017 Nov	AAC.01572-17 [pii] 10.1128/AAC.01572-17 [doi]
Novel sequence types of extended-spectrum and acquired AmpC beta-lactamase producing Escherichia coli and Escherichia clade V isolated from wild mammals.	Alonso CA Alcala L Simon C Torres C	2017 Aug 1	4004838 [pii] 10.1093/femsec/fix097 [doi]
Development and Characterization of a Camelid Single Domain Antibody-Urease Conjugate That Targets Vascular Endothelial Growth Factor Receptor 2.	Tian B Wong WY Uger MD Wisniewski P Chao H	2017	10.3389/fimmu.2017.00956 [doi]
Monitoring of genetically modified Escherichia coli in laboratory wastewater.	Wichmann F Wyrsch I Frank J Muller M Bertschi N Brodmann P Bagutti C	2017 Oct	10.1007/s11356-017-0021-3 [doi] 10.1007/s11356-017-0021-3 [pii]
The CTX-M-14 plasmid pHK01 encodes novel small RNAs and influences host growth and motility.	Jiang X Liu X Law COK Wang Y Lo WU Weng X Chan TF Ho PL Lau TCK	2017 Jul 1	3940222 [pii] 10.1093/femsec/fix090 [doi]
Widespread Fosfomycin Resistance in Gram-Negative Bacteria Attributable to the Chromosomal fosA Gene.	Ito R Mustapha MM Tomich AD Callaghan JD McElheny CL Mettus RT Shanks RMQ Sluis-Cremer N Doi Y	2017 Aug 29	mBio.00749-17 [pii] 10.1128/mBio.00749-17 [doi]
Vaborbactam: Spectrum of Beta-Lactamase Inhibition and Impact of Resistance Mechanisms on Activity in Enterobacteriaceae.	Lomovskaya O Sun D Rubio-Aparicio D Nelson K Tsivkovski R Griffith DC Dudley MN	2017 Nov	AAC.01443-17 [pii] 10.1128/AAC.01443-17 [doi]
Affinity-Based Purification of Polyisocyanopeptide Bioconjugates.	Hammink R Eggermont LJ Zisis T Tel J Figdor CG Rowan AE Blank KG	2017 Oct 18	10.1021/acs.bioconjchem.7b00398 [doi]
Multiple plasmid interference - Pledging allegiance to my enemy's enemy.	Gama JA Zilhao R Dionisio F	2017 Sep	S0147-619X(17)30052-5 [pii] 10.1016/j.plasmid.2017.08.002 [doi]
